occ_code,state,median_annual,employment
11-2022,Wyoming,137560,120
11-3021,Alabama,132840,5800
11-3021,Alaska,133600,640
11-3021,Arizona,163230,14180
11-3021,Arkansas,113290,3230
11-3021,California,210490,98430
11-3021,Colorado,173030,12080
11-3021,Connecticut,159880,9950
11-3021,Delaware,184190,1670
11-3021,District of Columbia,181650,4550
11-3021,Florida,158380,27110
11-3021,Georgia,167740,15350
11-3021,Hawaii,132940,1040
11-3021,Idaho,131100,1420
11-3021,Illinois,164240,26940
11-3021,Indiana,132020,7200
11-3021,Iowa,134240,3560
11-3021,Kansas,162660,3810
11-3021,Kentucky,128350,2540
11-3021,Louisiana,121910,2300
11-3021,Maine,139330,1450
11-3021,Maryland,169830,13570
11-3021,Massachusetts,175170,25030
11-3021,Michigan,150800,14770
11-3021,Minnesota,169100,10450
11-3021,Mississippi,106690,1340
11-3021,Missouri,136130,7960
11-3021,Nebraska,132660,5030
11-3021,Nevada,128380,2720
11-3021,New Hampshire,163720,3260
11-3021,New Jersey,191450,27890
11-3021,New Mexico,128730,1430
11-3021,New York,207000,39190
11-3021,North Carolina,164210,21660
11-3021,North Dakota,132060,640
11-3021,Ohio,162280,13670
11-3021,Oklahoma,129850,3390
11-3021,Oregon,156980,7160
11-3021,Pennsylvania,155290,20480
11-3021,Rhode Island,170730,860
11-3021,South Carolina,134630,4910
11-3021,South Dakota,161460,280
11-3021,Tennessee,135730,10470
11-3021,Texas,164840,62620
11-3021,Utah,164670,7400
11-3021,Vermont,128660,780
11-3021,Virginia,181650,16460
11-3021,Washington,202190,16680
11-3021,West Virginia,145420,1110
11-3021,Wisconsin,143570,6790
11-3021,Wyoming,107750,310
11-3031,Alabama,134080,5810
11-3031,Alaska,127000,1930
11-3031,Arizona,133420,14630
11-3031,Arkansas,101230,7150
11-3031,California,169780,97400
11-3031,Colorado,168410,10700
11-3031,Connecticut,162260,19440
11-3031,Delaware,174880,2670
11-3031,District of Columbia,172060,7570
11-3031,Florida,135780,42740
11-3031,Georgia,159620,21770
11-3031,Hawaii,123010,3130
11-3031,Idaho,109000,2660
11-3031,Illinois,149900,48810
11-3031,Indiana,125280,11030
11-3031,Iowa,126230,10350
11-3031,Kansas,134770,4420
11-3031,Kentucky,122770,6580
11-3031,Louisiana,109280,6890
11-3031,Maine,129630,2680
11-3031,Maryland,146860,16140
11-3031,Massachusetts,169870,31370
11-3031,Michigan,131770,19970
11-3031,Minnesota,151000,16400
11-3031,Mississippi,95830,3800
11-3031,Missouri,130990,11840
11-3031,Montana,120270,1160
11-3031,Nebraska,132510,5580
11-3031,Nevada,123990,6950
11-3031,New Hampshire,140380,4270
11-3031,New Jersey,185430,34530
11-3031,New Mexico,115000,2590
11-3031,New York,215430,62800
11-3031,North Carolina,146860,21870
11-3031,North Dakota,127570,1970
11-3031,Ohio,131610,28650
