occ_code,state,median_annual,employment
15-1211,Arkansas,77210,2620
15-1211,California,124370,49930
15-1211,Colorado,105980,9290
15-1211,Connecticut,103830,6610
15-1211,Delaware,113060,2660
15-1211,District of Columbia,103960,2310
15-1211,Florida,99770,32760
15-1211,Georgia,100120,12240
15-1211,Hawaii,87980,1440
15-1211,Idaho,80960,1910
15-1211,Illinois,99470,20570
15-1211,Indiana,92310,10900
15-1211,Iowa,91040,4770
15-1211,Kansas,102180,5970
15-1211,Kentucky,80980,4120
15-1211,Louisiana,82660,2430
15-1211,Maine,81810,2420
15-1211,Maryland,111100,13800
15-1211,Massachusetts,111890,14070
15-1211,Michigan,100100,15000
15-1211,Minnesota,106930,12180
15-1211,Mississippi,80020,1610
15-1211,Missouri,96660,7860
15-1211,Montana,82020,580
15-1211,Nebraska,82710,3570
15-1211,Nevada,100780,1920
15-1211,New Hampshire,105850,2450
15-1211,New Jersey,123190,14970
15-1211,New Mexico,88440,2480
15-1211,New York,107510,19760
15-1211,North Carolina,105770,26220
15-1211,North Dakota,93880,190
15-1211,Ohio,95400,16530
15-1211,Oklahoma,99590,3320
15-1211,Oregon,112990,4760
15-1211,Pennsylvania,83460,19630
15-1211,Rhode Island,107140,1590
15-1211,South Carolina,92990,7720
15-1211,South Dakota,92290,1010
15-1211,Tennessee,94490,8460
15-1211,Texas,107200,50680
15-1211,Utah,90650,2960
15-1211,Virginia,108350,23830
15-1211,Washington,128710,20060
15-1211,West Virginia,98090,1190
15-1211,Wisconsin,89980,8460
15-1211,Wyoming,106540,240
15-1232,Alabama,48200,8160
15-1232,Alaska,58070,860
15-1232,Arizona,59970,20180
15-1232,Arkansas,44770,3930
15-1232,California,75110,67630
15-1232,Colorado,67110,16850
15-1232,Connecticut,63800,8370
15-1232,Delaware,63500,1940
15-1232,District of Columbia,76680,4120
15-1232,Florida,52000,45880
15-1232,Georgia,57420,26150
15-1232,Hawaii,59490,1860
15-1232,Idaho,50210,3280
15-1232,Illinois,58120,24040
15-1232,Indiana,51230,11490
15-1232,Iowa,52280,6280
15-1232,Kansas,49960,7040
15-1232,Kentucky,51200,6460
15-1232,Louisiana,52910,3570
15-1232,Maine,55550,2790
15-1232,Maryland,61450,10820
15-1232,Massachusetts,73810,18810
15-1232,Michigan,56770,21920
15-1232,Minnesota,62670,13000
15-1232,Mississippi,45030,3130
15-1232,Missouri,51720,13990
15-1232,Montana,50890,1830
15-1232,Nebraska,56390,4690
15-1232,Nevada,51110,6460
15-1232,New Hampshire,62160,3060
15-1232,New Jersey,65180,18170
15-1232,New Mexico,50490,3480
15-1232,New York,63070,40430
15-1232,North Carolina,57000,22730
15-1232,North Dakota,60230,1360
15-1232,Ohio,51490,23320
15-1232,Oklahoma,50300,8060
15-1232,Oregon,61930,8510
15-1232,Pennsylvania,55450,27200
15-1232,Rhode Island,62130,2250
15-1232,South Carolina,50350,11040
15-1232,South Dakota,46280,1200
15-1232,Tennessee,51130,10190
15-1232,Texas,51820,72410
15-1232,Utah,59490,10770
15-1232,Vermont,63000,1710
15-1232,Virginia,63450,21260
15-1232,Washington,66770,22030
15-1232,West Virginia,50490,1930
15-1232,Wisconsin,57360,12340
15-1232,Wyoming,56330,740
15-1241,Alabama,125980,3390
15-1241,Alaska,104960,160
15-1241,Arizona,116970,4470
15-1241,Arkansas,99370,890
15-1241,California,144980,17560
15-1241,Colorado,132960,11160
15-1241,Connecticut,129790,1930
15-1241,Delaware,128180,850
15-1241,District of Columbia,133890,1160
15-1241,Florida,126290,7590
15-1241,Georgia,132370,5340
15-1241,Hawaii,104180,550
15-1241,Idaho,112910,900
15-1241,Illinois,131740,6770
15-1241,Indiana,108220,2640
15-1241,Iowa,122320,1030
15-1241,Kansas,99230,1890
15-1241,Kentucky,102780,1120
15-1241,Louisiana,102420,310
15-1241,Maine,103530,470
15-1241,Maryland,144280,6760
15-1241,Massachusetts,153200,4940
15-1241,Michigan,105480,2860
15-1241,Minnesota,129150,2360
15-1241,Mississippi,96120,280
15-1241,Missouri,109760,3790
15-1241,Montana,102750,390
15-1241,Nebraska,110020,1130
15-1241,Nevada,122530,660
15-1241,New Hampshire,132980,500
15-1241,New Jersey,144670,6810
15-1241,New Mexico,109500,750
15-1241,New York,134550,9500
15-1241,North Carolina,120660,8360
15-1241,North Dakota,115450,300
15-1241,Ohio,122690,4740
15-1241,Oklahoma,104000,1610
15-1241,Oregon,121760,1530
15-1241,Pennsylvania,111650,5790
15-1241,Rhode Island,133590,450
15-1241,South Carolina,105050,1650
15-1241,South Dakota,152990,740
15-1241,Tennessee,110400,3940
15-1241,Texas,132400,14610
15-1241,Utah,130190,1480
15-1241,Vermont,125100,170
15-1241,Virginia,136410,10770
15-1241,Washington,164500,4270
15-1241,West Virginia,100180,280
15-1241,Wisconsin,112150,2480
15-1241,Wyoming,108110,40
15-1244,Alabama,82270,5200
15-1244,Alaska,89400,710
15-1244,Arizona,91730,6090
15-1244,Arkansas,77090,1500
15-1244,California,106450,29130
15-1244,Colorado,103430,10880
15-1244,Connecticut,99990,1840
15-1244,Delaware,88270,940
15-1244,District of Columbia,110140,1710
15-1244,Florida,90330,22430
15-1244,Georgia,94840,8350
15-1244,Hawaii,97490,2400
15-1244,Idaho,84620,1090
15-1244,Illinois,93920,10070
15-1244,Indiana,78400,5730
15-1244,Iowa,85380,3250
15-1244,Kansas,81390,3930
15-1244,Kentucky,80690,2730
15-1244,Louisiana,82300,1400
15-1244,Maine,78850,1290
15-1244,Maryland,107690,8040
15-1244,Massachusetts,102250,7480
15-1244,Michigan,89030,7160
15-1244,Minnesota,98940,4290
15-1244,Mississippi,78790,1470
15-1244,Missouri,82530,6330
15-1244,Montana,78000,890
15-1244,Nebraska,86360,1500
15-1244,Nevada,82410,1780
15-1244,New Hampshire,96660,1910
15-1244,New Jersey,103850,11030
15-1244,New Mexico,82140,1380
15-1244,New York,102900,20020
15-1244,North Carolina,94120,10230
15-1244,North Dakota,81040,760
15-1244,Ohio,96660,20280
15-1244,Oklahoma,83840,2700
15-1244,Oregon,101130,4350
15-1244,Pennsylvania,86530,9220
15-1244,Rhode Island,107640,1420
15-1244,South Carolina,87760,3700
15-1244,South Dakota,66790,1890
15-1244,Tennessee,81470,4900
15-1244,Texas,92360,33700
15-1244,Utah,87370,2770
15-1244,Vermont,86010,440
15-1244,Virginia,103030,15040
15-1244,Washington,104060,7540
15-1244,West Virginia,67480,1270
15-1244,Wisconsin,86160,8250
15-1244,Wyoming,74700,580
15-1252,Alabama,102730,17130
15-1252,Alaska,151400,280
15-1252,Arizona,123180,38540
15-1252,Arkansas,92140,5650
15-1252,California,168660,304390
15-1252,Colorado,134960,45270
15-1252,Connecticut,125080,18380
15-1252,Delaware,131690,4850
15-1252,District of Columbia,140360,8470
15-1252,Florida,122310,86550
15-1252,Georgia,127070,51960
15-1252,Hawaii,104860,2740
15-1252,Idaho,102700,5910
15-1252,Illinois,126200,56290
15-1252,Indiana,105740,13440
15-1252,Iowa,105920,9730
15-1252,Kansas,104250,14490
15-1252,Kentucky,103030,5800
15-1252,Louisiana,104840,3960
15-1252,Maine,113190,3220
15-1252,Maryland,138050,30700
15-1252,Massachusetts,137130,59960
15-1252,Michigan,103830,44140
15-1252,Minnesota,125380,38570
15-1252,Mississippi,85190,3090
15-1252,Missouri,104600,18450
15-1252,Montana,109270,2370
15-1252,Nebraska,109800,8270
15-1252,Nevada,125590,5030
15-1252,New Hampshire,128860,9250
15-1252,New Jersey,131680,54570
15-1252,New Mexico,126560,4270
15-1252,New York,145470,105460
15-1252,North Carolina,130620,58620
15-1252,North Dakota,100980,1840
15-1252,Ohio,107560,42250
15-1252,Oklahoma,104030,7670
15-1252,Oregon,130000,21650
15-1252,Pennsylvania,111910,41300
15-1252,Rhode Island,128990,5460
15-1252,South Carolina,111130,11810
15-1252,South Dakota,82850,2240
15-1252,Tennessee,110660,16560
15-1252,Texas,127000,138510
15-1252,Utah,116830,25930
15-1252,Vermont,112620,1710
15-1252,Virginia,135040,86680
15-1252,Washington,162390,89110
15-1252,West Virginia,81380,1890
15-1252,Wisconsin,102660,21800
15-1252,Wyoming,137860,670
15-1254,Alabama,63020,1120
15-1254,Alaska,88090,60
15-1254,Arizona,66960,1860
15-1254,Arkansas,42140,540
15-1254,California,111910,10590
15-1254,Colorado,64240,2460
15-1254,Connecticut,88640,740
15-1254,Delaware,102450,130
15-1254,District of Columbia,112490,670
15-1254,Florida,78640,5860
15-1254,Georgia,88640,1300
15-1254,Idaho,59690,
15-1254,Illinois,100580,4260
15-1254,Indiana,57470,1190
15-1254,Iowa,69410,430
15-1254,Kansas,72870,600
15-1254,Kentucky,68860,440
15-1254,Louisiana,64820,370
15-1254,Maine,65890,290
15-1254,Maryland,83150,2070
15-1254,Massachusetts,99850,
15-1254,Michigan,88460,1030
15-1254,Minnesota,93780,2040
15-1254,Mississippi,57970,170
15-1254,Missouri,68430,
15-1254,Montana,57970,180
15-1254,Nebraska,70310,
15-1254,Nevada,63020,270
15-1254,New Hampshire,91210,400
15-1254,New Jersey,79590,2400
15-1254,New York,79230,5950
15-1254,North Carolina,76530,1660
15-1254,North Dakota,63560,160
15-1254,Ohio,83160,1580
15-1254,Oklahoma,77660,400
15-1254,Oregon,64260,1100
15-1254,Pennsylvania,87260,2690
15-1254,Rhode Island,79940,620
15-1254,South Carolina,88450,1060
15-1254,South Dakota,50770,400
15-1254,Tennessee,77010,1580
15-1254,Texas,93180,6130
15-1254,Utah,66720,1580
15-1254,Vermont,79030,190
15-1254,Virginia,105830,4640
15-1254,Washington,108410,4820
15-1254,West Virginia,67390,300
15-1254,Wisconsin,67060,2880
15-1254,Wyoming,62890,40
15-2011,Alabama,102010,70
15-2011,Arizona,122800,240
15-2011,California,120650,870
15-2011,Colorado,131110,760
15-2011,Connecticut,133380,1290
15-2011,District of Columbia,145600,270
15-2011,Florida,105790,1350
15-2011,Georgia,128200,400
15-2011,Illinois,119650,1860
15-2011,Indiana,82310,350
15-2011,Iowa,119790,730
15-2011,Kansas,121730,280
15-2011,Kentucky,104430,130
15-2011,Louisiana,82470,120
15-2011,Maine,119090,80
15-2011,Maryland,105440,540
15-2011,Massachusetts,135000,1100
15-2011,Michigan,93250,380
15-2011,Minnesota,104020,1060
15-2011,Mississippi,97620,40
15-2011,Missouri,106840,500
15-2011,Nebraska,104730,270
15-2011,Nevada,100540,70
15-2011,New Hampshire,136550,70
15-2011,New Jersey,135710,1610
15-2011,New York,140760,2890
15-2011,North Carolina,130190,590
15-2011,Ohio,112230,1410
15-2011,Oklahoma,86050,40
15-2011,Oregon,122430,140
15-2011,Pennsylvania,116880,1880
15-2011,Rhode Island,106890,160
15-2011,South Carolina,93250,150
15-2011,South Dakota,108790,70
15-2011,Tennessee,97890,410
15-2011,Texas,108770,1060
15-2011,Utah,72450,200
15-2011,Virginia,117670,510
15-2011,Washington,132980,230
15-2011,Wisconsin,106840,980
15-2051,Alabama,100560,1120
15-2051,Alaska,80000,200
15-2051,Arizona,106400,3800
15-2051,Arkansas,115890,330
15-2051,California,133690,33220
15-2051,Colorado,111970,5910
15-2051,Connecticut,112750,1190
15-2051,Delaware,138780,530
15-2051,District of Columbia,122010,3100
15-2051,Florida,95360,8400
15-2051,Georgia,100950,6510
15-2051,Hawaii,129930,150
15-2051,Idaho,122280,710
15-2051,Illinois,108580,6320
15-2051,Indiana,81620,2440
15-2051,Iowa,96980,2270
15-2051,Kansas,101610,
15-2051,Kentucky,88800,2080
15-2051,Louisiana,68730,920
15-2051,Maine,99960,710
15-2051,Maryland,125460,2170
15-2051,Massachusetts,121560,7400
15-2051,Michigan,90750,4700
15-2051,Minnesota,114630,2240
15-2051,Mississippi,62600,290
15-2051,Missouri,81410,3850
15-2051,Montana,94420,90
15-2051,Nebraska,92640,1780
15-2051,Nevada,86030,980
15-2051,New Hampshire,92670,780
15-2051,New Jersey,130570,4340
15-2051,New Mexico,87020,380
15-2051,New York,128890,16390
15-2051,North Carolina,126940,6640
15-2051,North Dakota,113620,240
15-2051,Ohio,97070,4660
15-2051,Oklahoma,83810,2130
15-2051,Oregon,114910,2640
15-2051,Pennsylvania,97260,7490
15-2051,Rhode Island,128350,900
15-2051,South Carolina,95310,2090
15-2051,South Dakota,91460,150
15-2051,Tennessee,92400,2090
15-2051,Texas,100100,20560
15-2051,Utah,97490,3530
15-2051,Vermont,117500,220
15-2051,Virginia,136490,4810
15-2051,Washington,132620,5640
15-2051,West Virginia,67660,180
15-2051,Wisconsin,101850,3090
15-2051,Wyoming,130370,
17-1011,Alaska,106780,150
17-1011,Arizona,100350,1450
17-1011,Arkansas,81340,670
17-1011,California,100090,15370
17-1011,Colorado,88290,3470
17-1011,Connecticut,103450,1130
17-1011,Delaware,105270,90
17-1011,District of Columbia,102740,1850
17-1011,Florida,81070,5380
17-1011,Georgia,94520,3040
17-1011,Hawaii,94240,560
17-1011,Idaho,80000,660
17-1011,Illinois,83140,5470
17-1011,Indiana,81470,1150
17-1011,Iowa,84360,700
17-1011,Kansas,79300,1040
17-1011,Kentucky,91100,530
17-1011,Louisiana,76390,1010
17-1011,Maine,64970,500
17-1011,Maryland,86340,2200
17-1011,Massachusetts,99280,4830
17-1011,Michigan,80310,3060
17-1011,Minnesota,92590,2660
17-1011,Mississippi,72540,350
17-1011,Missouri,81170,2330
17-1011,Montana,80860,470
17-1011,Nebraska,81880,630
17-1011,Nevada,101900,330
17-1011,New Hampshire,79790,360
17-1011,New Jersey,96520,2180
17-1011,New Mexico,79030,620
17-1011,New York,96220,10970
17-1011,North Carolina,79760,3260
17-1011,North Dakota,78860,200
17-1011,Ohio,95890,3230
17-1011,Oklahoma,79890,930
17-1011,Oregon,79700,2050
17-1011,Pennsylvania,85450,3540
17-1011,Rhode Island,76900,330
17-1011,South Carolina,81890,1020
17-1011,South Dakota,100640,160
17-1011,Tennessee,80400,1990
17-1011,Texas,80880,8110
17-1011,Utah,72910,1200
17-1011,Vermont,84440,280
17-1011,Virginia,98590,2340
17-1011,Washington,94560,4120
17-1011,West Virginia,81320,160
17-1011,Wisconsin,88340,1610
17-1011,Wyoming,100180,100
17-2051,Alabama,91670,5340
17-2051,Alaska,103730,1630
17-2051,Arizona,84360,6230
17-2051,Arkansas,78310,1770
17-2051,California,105040,49010
17-2051,Colorado,98210,12100
17-2051,Connecticut,98590,3750
17-2051,Delaware,98790,900
17-2051,District of Columbia,98480,1620
17-2051,Florida,93830,18130
17-2051,Georgia,78000,8450
17-2051,Hawaii,84500,2380
17-2051,Idaho,83390,1970
17-2051,Illinois,97870,13530
17-2051,Indiana,82580,3990
17-2051,Iowa,92530,2560
17-2051,Kansas,81910,2860
17-2051,Kentucky,90580,2890
17-2051,Louisiana,105830,2930
17-2051,Maine,85350,1430
17-2051,Maryland,93970,4840
17-2051,Massachusetts,101240,8640
17-2051,Michigan,82870,7920
17-2051,Minnesota,99410,3500
17-2051,Mississippi,97490,1970
17-2051,Missouri,82930,4930
17-2051,Montana,80140,1790
17-2051,Nebraska,86060,1930
17-2051,Nevada,83700,2940
17-2051,New Hampshire,86440,1540
17-2051,New Jersey,100040,7830
17-2051,New Mexico,100090,1410
17-2051,New York,103170,16450
17-2051,North Carolina,86620,11380
17-2051,North Dakota,88620,1390
17-2051,Ohio,83440,7150
17-2051,Oklahoma,96130,2610
17-2051,Oregon,98620,4450
17-2051,Pennsylvania,93340,13260
17-2051,Rhode Island,99370,1130
17-2051,South Carolina,86490,5950
17-2051,South Dakota,85410,1330
17-2051,Tennessee,89590,4070
17-2051,Texas,82480,29660
17-2051,Utah,87920,3760
17-2051,Vermont,78690,810
17-2051,Virginia,87830,11050
17-2051,Washington,99150,12130
17-2051,West Virginia,86800,1260
17-2051,Wisconsin,83760,6520
17-2051,Wyoming,79600,860
17-2071,Alabama,105580,4360
17-2071,Alaska,101710,510
17-2071,Arizona,104950,5090
17-2071,Arkansas,80190,1170
17-2071,California,139140,28170
17-2071,Colorado,110010,3810
17-2071,Connecticut,114260,3010
17-2071,Delaware,105810,570
17-2071,District of Columbia,129670,530
17-2071,Florida,100200,6710
17-2071,Georgia,103460,4050
17-2071,Hawaii,110490,860
17-2071,Idaho,119140,840
17-2071,Illinois,104120,4640
17-2071,Indiana,98270,3370
17-2071,Iowa,106770,1070
17-2071,Kansas,93700,2240
17-2071,Kentucky,83190,1870
17-2071,Louisiana,103030,840
17-2071,Maine,104630,890
17-2071,Maryland,120240,3950
17-2071,Massachusetts,125470,4780
17-2071,Michigan,99800,10270
17-2071,Minnesota,103330,3960
17-2071,Mississippi,98340,980
17-2071,Missouri,99530,2410
17-2071,Montana,90600,570
17-2071,Nebraska,102080,850
17-2071,Nevada,95140,960
17-2071,New Hampshire,133180,1540
17-2071,New Jersey,108120,3990
17-2071,New Mexico,135880,1720
17-2071,New York,107000,7270
17-2071,North Carolina,101170,5260
17-2071,North Dakota,105230,330
17-2071,Ohio,100230,6710
17-2071,Oklahoma,100850,1700
17-2071,Oregon,120430,3390
17-2071,Pennsylvania,105000,6880
17-2071,Rhode Island,105130,640
17-2071,South Carolina,96120,2460
17-2071,South Dakota,88840,350
17-2071,Tennessee,103170,1980
17-2071,Texas,102710,14540
17-2071,Utah,104800,2190
17-2071,Virginia,110840,6090
17-2071,Washington,126800,9060
17-2071,West Virginia,100230,630
17-2071,Wisconsin,97880,4120
17-2071,Wyoming,102960,300
17-2112,Alabama,97360,7440
17-2112,Arizona,104210,7100
17-2112,Arkansas,93220,1850
17-2112,California,111770,24640
17-2112,Colorado,102150,5230
17-2112,Connecticut,99420,6190
17-2112,Delaware,114250,800
17-2112,District of Columbia,102210,170
17-2112,Florida,100010,13130
17-2112,Georgia,95930,7440
17-2112,Hawaii,113350,40
17-2112,Idaho,105760,1770
17-2112,Illinois,99660,17760
17-2112,Indiana,88360,10910
17-2112,Iowa,97290,4610
17-2112,Kansas,93560,3370
17-2112,Kentucky,84980,6020
17-2112,Louisiana,125830,2020
17-2112,Maine,98100,750
17-2112,Maryland,107260,2910
17-2112,Massachusetts,104120,11370
17-2112,Michigan,98340,27470
17-2112,Minnesota,99630,18760
17-2112,Mississippi,85540,1990
17-2112,Missouri,92120,5390
17-2112,Montana,101580,480
17-2112,Nebraska,86790,1520
17-2112,Nevada,108380,980
17-2112,New Hampshire,99780,1720
17-2112,New Jersey,101410,6910
17-2112,New Mexico,107710,800
17-2112,New York,99110,12330
17-2112,North Carolina,94040,10200
17-2112,North Dakota,79720,550
17-2112,Ohio,96500,19230
17-2112,Oklahoma,95090,2340
17-2112,Oregon,103080,4060
17-2112,Pennsylvania,84530,13310
17-2112,Rhode Island,105410,1000
17-2112,South Carolina,92470,7070
17-2112,South Dakota,87210,870
17-2112,Tennessee,92830,6710
17-2112,Texas,102020,24390
17-2112,Utah,102770,4310
17-2112,Vermont,98660,500
17-2112,Virginia,98600,5120
17-2112,Washington,105130,5820
17-2112,West Virginia,100230,830
17-2112,Wisconsin,81750,12270
17-2112,Wyoming,124910,240
17-2141,Alabama,97050,5280
17-2141,Alaska,101960,420
17-2141,Arizona,99650,5360
17-2141,Arkansas,74840,1000
17-2141,California,122550,27420
17-2141,Colorado,101700,7100
17-2141,Connecticut,101700,4360
17-2141,Delaware,102070,580
17-2141,District of Columbia,124160,520
17-2141,Florida,92810,8520
17-2141,Georgia,84080,5600
17-2141,Hawaii,97140,530
17-2141,Idaho,81280,1150
17-2141,Illinois,99420,10260
17-2141,Indiana,94930,9170
17-2141,Iowa,97120,5340
17-2141,Kansas,83260,2720
17-2141,Kentucky,95820,2970
17-2141,Louisiana,109200,1270
17-2141,Maine,98690,850
17-2141,Maryland,106280,5600
17-2141,Massachusetts,108490,9140
17-2141,Michigan,98760,32580
17-2141,Minnesota,94520,5660
17-2141,Mississippi,84390,1110
17-2141,Missouri,82700,3360
17-2141,Montana,83050,470
17-2141,Nebraska,86240,880
17-2141,Nevada,82950,950
17-2141,New Hampshire,99990,2950
17-2141,New Jersey,102370,4830
17-2141,New Mexico,133660,1870
17-2141,New York,97410,8190
17-2141,North Carolina,95490,7500
17-2141,North Dakota,84690,730
17-2141,Ohio,92360,15160
17-2141,Oklahoma,94860,2130
17-2141,Oregon,100990,3140
17-2141,Pennsylvania,97340,19060
17-2141,Rhode Island,100190,1510
17-2141,South Carolina,95880,4530
17-2141,South Dakota,84050,690
17-2141,Tennessee,97770,2400
17-2141,Texas,103190,19630
17-2141,Utah,93720,3450
17-2141,Vermont,97970,640
17-2141,Virginia,101900,6150
17-2141,Washington,104510,7190
17-2141,West Virginia,96300,720
17-2141,Wisconsin,86200,8400
17-2141,Wyoming,105860,250
19-1042,Alabama,64320,1200
19-1042,Alaska,95830,70
19-1042,Arizona,98280,1440
19-1042,Arkansas,63320,300
19-1042,California,128320,22520
19-1042,Colorado,90560,2450
19-1042,Connecticut,125200,2570
19-1042,Delaware,100830,420
19-1042,District of Columbia,114260,600
19-1042,Florida,90520,5610
19-1042,Georgia,89730,1070
19-1042,Idaho,78090,220
19-1042,Illinois,89750,2480
19-1042,Indiana,96160,1570
19-1042,Iowa,82530,1130
19-1042,Kansas,78160,900
19-1042,Kentucky,65620,520
19-1042,Louisiana,63580,80
19-1042,Maine,99590,120
19-1042,Maryland,102920,6030
19-1042,Massachusetts,127310,17570
19-1042,Michigan,80370,3480
19-1042,Minnesota,101130,5600
19-1042,Mississippi,58410,430
19-1042,Missouri,81150,1080
19-1042,Montana,76730,310
19-1042,Nebraska,76000,490
19-1042,Nevada,102780,
19-1042,New Hampshire,96630,260
19-1042,New Jersey,126070,4490
19-1042,New Mexico,61160,280
19-1042,New York,90510,7650
19-1042,North Carolina,100610,3470
19-1042,North Dakota,74350,120
19-1042,Ohio,81470,2100
19-1042,Oklahoma,104830,580
19-1042,Oregon,93390,1590
19-1042,Pennsylvania,105200,4360
19-1042,Rhode Island,99300,600
19-1042,South Carolina,110310,500
19-1042,South Dakota,74370,110
19-1042,Tennessee,95220,4350
19-1042,Utah,76570,1530
19-1042,Vermont,63600,110
19-1042,Virginia,86470,
19-1042,Washington,102860,6980
19-1042,West Virginia,82470,320
19-1042,Wisconsin,80880,2400
19-2031,Alabama,85150,620
19-2031,Alaska,81680,40
19-2031,Arizona,70430,850
19-2031,Arkansas,71050,410
19-2031,California,97210,9940
19-2031,Colorado,92900,1930
19-2031,Connecticut,95000,930
19-2031,Delaware,109890,1330
19-2031,District of Columbia,141880,270
19-2031,Florida,81190,1810
19-2031,Georgia,91260,1190
19-2031,Hawaii,83370,130
19-2031,Idaho,69110,280
19-2031,Illinois,82970,3340
19-2031,Indiana,75270,1880
19-2031,Iowa,75540,850
19-2031,Kansas,80120,560
19-2031,Kentucky,79200,640
19-2031,Louisiana,94280,500
19-2031,Maine,60790,160
19-2031,Maryland,124170,3150
19-2031,Massachusetts,108220,4340
19-2031,Michigan,89980,3960
19-2031,Minnesota,80620,2030
19-2031,Mississippi,81760,210
19-2031,Missouri,88260,2220
19-2031,Montana,61210,220
19-2031,Nebraska,65950,240
19-2031,Nevada,55200,200
19-2031,New Hampshire,75240,210
19-2031,New Jersey,86570,5740
19-2031,New Mexico,100900,170
19-2031,New York,83440,5080
19-2031,North Carolina,79450,4920
19-2031,North Dakota,78690,130
19-2031,Ohio,82070,3420
19-2031,Oklahoma,64200,730
19-2031,Oregon,78160,630
19-2031,Pennsylvania,75700,6050
19-2031,Rhode Island,91280,120
19-2031,South Carolina,76280,1010
19-2031,South Dakota,63370,130
19-2031,Tennessee,83980,690
19-2031,Texas,95440,4160
19-2031,Utah,76430,840
19-2031,Vermont,81850,100
19-2031,Virginia,93480,1350
19-2031,Washington,83760,1730
19-2031,West Virginia,80160,230
19-2031,Wisconsin,73280,1760
19-2031,Wyoming,97000,140
19-3033,Alabama,94740,440
19-3033,Alaska,103530,120
19-3033,Arizona,89830,630
19-3033,Arkansas,65440,410
19-3033,California,126450,11840
19-3033,Colorado,83100,1230
19-3033,Florida,78730,2680
19-3033,Georgia,79410,690
19-3033,Hawaii,92480,280
19-3033,Idaho,65590,600
19-3033,Illinois,85990,4930
19-3033,Indiana,80480,1480
19-3033,Iowa,86300,540
19-3033,Kansas,66390,330
19-3033,Kentucky,95130,700
19-3033,Maine,97770,210
19-3033,Maryland,102680,2460
19-3033,Massachusetts,95780,3360
19-3033,Michigan,77530,2520
19-3033,Minnesota,101160,1670
19-3033,Missouri,83840,1670
19-3033,Montana,67590,320
19-3033,Nevada,104020,360
19-3033,New Hampshire,48780,290
19-3033,New Jersey,130700,2010
19-3033,New Mexico,81640,280
19-3033,New York,99870,7290
19-3033,North Carolina,78630,2260
19-3033,North Dakota,74110,160
19-3033,Ohio,105680,1350
19-3033,Oklahoma,76190,270
19-3033,Oregon,126830,490
19-3033,Pennsylvania,73470,2970
19-3033,Rhode Island,110000,400
19-3033,South Carolina,59580,700
19-3033,South Dakota,83470,150
19-3033,Tennessee,89980,640
19-3033,Texas,75140,4240
19-3033,Utah,82350,1190
19-3033,Vermont,78700,120
19-3033,Virginia,89520,1920
19-3033,Washington,110480,1010
19-3033,West Virginia,65350,680
19-3033,Wisconsin,97080,1390
19-3033,Wyoming,65810,60
21-1012,Alabama,61160,4330
21-1012,Alaska,66650,460
21-1012,Arizona,52280,6140
21-1012,Arkansas,57780,2250
21-1012,California,77640,41380
21-1012,Colorado,60660,5710
21-1012,Connecticut,65400,3380
21-1012,Delaware,72240,1480
21-1012,District of Columbia,70590,1960
21-1012,Florida,50950,21560
21-1012,Georgia,60930,10260
21-1012,Hawaii,61660,1700
21-1012,Idaho,51410,2120
21-1012,Illinois,59970,12770
21-1012,Indiana,50670,5270
21-1012,Iowa,53470,3260
21-1012,Kansas,51220,2870
21-1012,Kentucky,58490,4800
21-1012,Louisiana,64440,6210
21-1012,Maine,56780,1550
21-1012,Maryland,73040,5830
21-1012,Massachusetts,76880,9990
21-1012,Michigan,58670,7690
21-1012,Minnesota,60660,4210
21-1012,Mississippi,54210,2680
21-1012,Missouri,49460,8770
21-1012,Montana,59860,800
21-1012,Nebraska,64150,2060
21-1012,Nevada,60880,2030
21-1012,New Hampshire,57990,2350
21-1012,New Jersey,76270,7350
21-1012,New Mexico,66960,1870
21-1012,New York,64540,22700
21-1012,North Carolina,51920,9190
21-1012,North Dakota,59470,730
21-1012,Ohio,63000,12140
21-1012,Oklahoma,49520,4270
21-1012,Oregon,68340,3110
21-1012,Pennsylvania,64300,8910
21-1012,Rhode Island,65040,1190
21-1012,South Carolina,52330,6180
21-1012,South Dakota,48640,860
21-1012,Tennessee,52850,5750
21-1012,Texas,64750,31680
21-1012,Utah,51420,4190
21-1012,Vermont,58800,920
21-1012,Virginia,61930,8040
21-1012,Washington,80260,6020
21-1012,West Virginia,50630,1330
21-1012,Wisconsin,60460,4610
21-1012,Wyoming,63490,730
21-1021,Alabama,45970,4110
21-1021,Alaska,63360,1610
21-1021,Arizona,48220,7690
21-1021,Arkansas,44820,1230
21-1021,California,65840,48190
21-1021,Colorado,62520,7560
21-1021,Connecticut,63050,5910
21-1021,Delaware,44820,880
21-1021,District of Columbia,73560,2920
21-1021,Florida,47490,13930
21-1021,Georgia,46330,5600
21-1021,Hawaii,65920,950
21-1021,Idaho,57090,840
21-1021,Illinois,59220,16430
21-1021,Indiana,49300,6600
21-1021,Iowa,46860,3020
21-1021,Kansas,48950,3580
21-1021,Kentucky,43510,7140
21-1021,Louisiana,54090,670
21-1021,Maine,60880,1870
21-1021,Maryland,67070,4030
21-1021,Massachusetts,61970,10380
21-1021,Michigan,57210,14480
21-1021,Minnesota,67080,8280
21-1021,Mississippi,41620,3370
21-1021,Missouri,41620,6890
21-1021,Montana,47070,1090
21-1021,Nebraska,46050,3520
21-1021,Nevada,53390,3800
21-1021,New Hampshire,58060,880
